note_id,seller_id,seller_name,goods_id,bridge_type,total_imp,total_clk,total_gv,total_buy,total_dgmv,gpm,ctr1_pct,good_click_quality_score,low_bad_market_score,model_sincerity_score,model_sincerity_level,creation_level,aigc_score,first_img_aesthetic_level,first_img_beauty_level,first_img_quality_level,first_img_definition_level,note_unfriendly_score,neg_emotion_score,spam_level,audit_level,ces_score_td,fans_num,publish_days,tob_b_level_30d,tob_seller_period_level,cover_url,note_quality_level,purchase_intent_score,rk_low_bad,rk_good_click,rk_sincerity,algo_quality_rank,tier,rn_in_tier
69d766290000000021006d76,62a1b89e43b3640001f2bd03,BRUTO WINES的店,638adc8680da2f00010db6e2,goods_seller,1105,66,30,2,457.3,413.84615384615387,5.97285067873303,0.615718,0.856813,49.392662048339844,高,B,0.126878,中,中,中,中,,,正常,2,33.0,15122,66,B3,稳定期,http://sns-img-qn.xhscdn.com/1040g00831uo19e2g1u3048lqr8p26vhmonlmh28?imageView2/2/w/540/format/jpg/q/75,2,0.88525390625,0.20602992762310732,0.8905392004499504,0.1303820138241345,0.4089837139657307,黑马,913
69aa4aa4000000001d026e4f,64eb138672d55e0001dd9fca,茯苓王子农产品的店,64eb41a371e89a0001d33501,goods_seller,614,13,13,3,254.0,413.68078175895766,2.11726384364821,0.791667,0.90125,83.8397445678711,高,B,0.124878,中,中,中,中,,,正常,2,136.0,58743,100,B4,稳定期,http://sns-img-qn.xhscdn.com/spectrum/1040g0k031tbvqmjkl60049msr80bhl6p4k17720?imageView2/2/w/540/format/jpg/q/75,1,0.958984375,0.6079510974941906,0.04468422065331616,0.00785193079052144,0.22016241631267608,黑马,914
6981b0de000000000a02e236,6729ccdf91ee7d0014854b52,尽力而为咖啡的店,67c2a5fb29b9f70001e4f16d,goods_seller,503,52,23,3,208.0,413.51888667992046,10.33797216699801,0.681523,0.926332,68.46354675292969,高,B,0.095276,中,低,中,中,,,正常,4,172.0,7826,131,B3,稳定期,http://sns-img-qn.xhscdn.com/notes_pre_post/1040g3k031s4auknc58305oinqe6od0e0f1vma4g?imageView2/2/w/540/format/jpg/q/75,0,0.82177734375,0.9587644124742832,0.4838373074019804,0.03309503722451638,0.4918989190335934,黑马,915
69b23309000000002602c56c,6540ad54368edf00013dba24,燕香御食养的店,6947c0f04423c30001d12f3f,goods_seller,759,37,14,2,313.40999999999997,412.9249011857707,4.87483530961792,0.713463,0.863223,38.481475830078125,中,B,0.060276,中,中,高,中,,,正常,2,135.0,17476,94,B4,稳定期,http://sns-img-qn.xhscdn.com/notes_pre_post/1040g3k831tjmeuhh6q705of7v0k8crg96o91m90?imageView2/2/w/540/format/jpg/q/75,1,0.958984375,0.24211476695824638,0.30367212823586875,0.24369847401684352,0.26316178973698623,黑马,916
6a12a1fa000000003601834a,650fc5e6796c030001e1f55c,翔说茶（单丛茶）的店,6a0d7470d4cee900018e0301,goods_seller,2336,123,34,5,964.0,412.67123287671234,5.26541095890411,0.666735,0.901155,39.183528900146484,中,B,0.083687,中,中,高,中,,,正常,4,4.0,43523,21,B5,稳定期,http://sns-img-qn.xhscdn.com/spectrum/1040g0k0320fda3nfli005oncfjqnjqeis8o8vd0?imageView2/2/w/540/format/jpg/q/75,2,0.91259765625,0.6066560099462723,0.5842398946168761,0.2342036321655344,0.4750331789095609,黑马,917
67ca705700000000280362f7,637f253e12def30001a8fffb,颐之宜养生的店,6380cc11075d9b0001ff5a84,goods_seller,717,2,3,1,295.8,412.55230125523013,0.27894002789400,0.763324,0.877199,1.2463767528533936,中,B,0.056905,中,中,中,中,,,正常,2,95.0,10076,464,B6,稳定期,http://sns-img-qn.xhscdn.com/1040g00831embug5q5k1g5okgoas5aq8rfm2s6og?imageView2/2/w/540/format/jpg/q/75,2,0.9580078125,0.3452333377736335,0.10649319894024836,0.7236801207761645,0.3918022191633488,黑马,918
69dcc8670000000023013ce6,65798517e8c3210001a4e77b,合为养旗舰店,666d7fa90f78be0001096770,goods_seller,730,27,7,1,301.0,412.32876712328766,3.69863013698630,0.697986,0.866989,-8.752756118774414,中,B,0.61158,中,中,中,中,,,正常,2,86.0,154383,62,B6,稳定期,http://sns-img-qn.xhscdn.com/spectrum/1040g34o31ut9bk9f3m105o8v0980amn56gn6rv8?imageView2/2/w/540/format/jpg/q/75,1,0.1907958984375,0.2663292038541805,0.38640972129715967,0.8195165993221142,0.49075184149115153,黑马,919
69b77a53000000001f006f6c,64d4cc0b146c1c00017f0705,小郭在滋己滋彼的店,67a4307a75ca3a00016729a7,goods_seller,922,110,41,2,380.0,412.1475054229935,11.93058568329718,0.73431,0.897876,78.98188018798828,高,B,0.112246,中,中,高,中,,,正常,4,38.0,5186,90,B2,成长期,http://sns-img-qn.xhscdn.com/1040g00831torl7f2ne0049n6sbogn45jggf5838?imageView2/2/w/540/format/jpg/q/75,1,0.85986328125,0.5650725989076861,0.20759143318088302,0.015082219558042124,0.2625820838822038,黑马,920
69a971600000000022031fd1,65a9e1b1a553de0001f1eb8b,Lecire乐希瑞巧克力旗舰店,69a58ac436986d00013b6516,goods_seller,5022,648,379,22,2069.0,411.9872560732776,12.90322580645161,0.740338,0.915586,51.617008209228516,高,B,0.087599,中,中,高,中,,,正常,4,369.0,8394,101,B3,稳定期,http://sns-img-qn.xhscdn.com/spectrum/1040g0k031tb3pinpme005o2upg3g8navbnic4f8?imageView2/2/w/540/format/jpg/q/75,2,0.9580078125,0.8211077068809851,0.18385062830247326,0.11601024229237897,0.37365619249194576,黑马,921
69cf561b000000002200ceb4,64c61bbde21b7a00014a64a8,静姐养发记的店,690c5ffb84cf4200019b13f6,goods_seller,782,34,38,5,321.86,411.5856777493606,4.34782608695652,0.676802,0.856644,15.338288307189941,中,B,0.248498,中,中,高,中,,,正常,4,36.0,18506,72,B3,稳定期,http://sns-img-qn.xhscdn.com/1040g00831ug5bret2s005oqblmb6bv0jv2dht9g?imageView2/2/w/540/format/jpg/q/75,2,0.947265625,0.20506786258751092,0.5149416100528396,0.5402587214895727,0.42008939804330775,黑马,922
